article_id,publish_date,keyword,slug,published_url,publish_verified_at_utc,article_schema_verified,localized_pages_verified,gsc_submission_status,gsc_submission_timestamp_utc,linkedin_publish_day_post_id,linkedin_day_after_post_id,twitter_publish_day_thread_id,twitter_day_after_thread_id,social_schedule_status,notes
kw_001,2026-07-16,AI workflow automation Dallas services,ai-workflow-automation-dallas-services,https://www.operive.com/blog/ai-workflow-automation-dallas-services/,2026-07-16T20:17:09+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,6a593e61cefcf117c7b7369f,,6a593e628095068878573c34;6a593e63cefcf117c7b736c3;6a593e638095068878573c58;6a593e64cefcf117c7b736e7,,partial-buffer-scheduled-plan-limit,"Live URL and Article schema verified; Buffer token found and used, but Buffer API stopped remaining scheduling with scheduled-post limit 10/10; GSC URL Inspection Request Indexing still requires Search Console-scoped auth or browser UI access."
kw_002,2026-07-17,AI workflow automation Dallas company,ai-workflow-automation-dallas-company,https://www.operive.com/blog/ai-workflow-automation-dallas-company/,2026-07-16T20:17:09+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,6a593e662b9f6e09f1c41593,,6a593e67cefcf117c7b73712;6a593e68763686fc6b483db3,6a593e6bcefcf117c7b73739,partial-buffer-scheduled-plan-limit,"Live URL and Article schema verified; Buffer token found and used, but Buffer API stopped remaining scheduling with scheduled-post limit 10/10; GSC URL Inspection Request Indexing still requires Search Console-scoped auth or browser UI access."
kw_003,2026-07-18,AI workflow automation Dallas consultant,ai-workflow-automation-dallas-consultant,https://www.operive.com/blog/ai-workflow-automation-dallas-consultant/,2026-07-16T20:17:09+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,6a593e6d8095068878573ca6,,,,partial-buffer-scheduled-plan-limit,"Live URL and Article schema verified; Buffer token found and used, but Buffer API stopped remaining scheduling with scheduled-post limit 10/10; GSC URL Inspection Request Indexing still requires Search Console-scoped auth or browser UI access."
kw_004,2026-07-19,AI workflow automation Dallas agency,ai-workflow-automation-dallas-agency,https://www.operive.com/blog/ai-workflow-automation-dallas-agency/,2026-07-16T20:17:09+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,6a593e70235d0d35a00bdde4,,,,partial-buffer-scheduled-plan-limit,"Live URL and Article schema verified; Buffer token found and used, but Buffer API stopped remaining scheduling with scheduled-post limit 10/10; GSC URL Inspection Request Indexing still requires Search Console-scoped auth or browser UI access."
kw_005,2026-07-20,AI workflow automation Dallas implementation,ai-workflow-automation-dallas-implementation,https://www.operive.com/blog/ai-workflow-automation-dallas-implementation/,2026-07-16T20:17:09+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,6a593e75235d0d35a00bde34,,,,partial-buffer-scheduled-plan-limit,"Live URL and Article schema verified; Buffer token found and used, but Buffer API stopped remaining scheduling with scheduled-post limit 10/10; GSC URL Inspection Request Indexing still requires Search Console-scoped auth or browser UI access."
kw_006,2026-07-21,AI workflow automation Dallas pricing,ai-workflow-automation-dallas-pricing,https://www.operive.com/blog/ai-workflow-automation-dallas-pricing/,2026-07-16T20:17:09+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,6a593e79235d0d35a00bde7f,,,,partial-buffer-scheduled-plan-limit,"Live URL and Article schema verified; Buffer token found and used, but Buffer API stopped remaining scheduling with scheduled-post limit 10/10; GSC URL Inspection Request Indexing still requires Search Console-scoped auth or browser UI access."
kw_007,2026-07-22,AI workflow automation Dallas near me,ai-workflow-automation-dallas-near-me,https://www.operive.com/blog/ai-workflow-automation-dallas-near-me/,2026-07-16T20:17:09+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,6a593e7d8095068878573d6d,,,,partial-buffer-scheduled-plan-limit,"Live URL and Article schema verified; Buffer token found and used, but Buffer API stopped remaining scheduling with scheduled-post limit 10/10; GSC URL Inspection Request Indexing still requires Search Console-scoped auth or browser UI access."
kw_008,2026-07-23,AI workflow automation Dallas for small business,ai-workflow-automation-dallas-for-small-business,https://www.operive.com/blog/ai-workflow-automation-dallas-for-small-business/,2026-07-16T20:17:09+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,,,,,blocked-buffer-plan-scheduled-post-limit-10-of-10,"Live URL and Article schema verified; Buffer token found and used, but Buffer API stopped remaining scheduling with scheduled-post limit 10/10; GSC URL Inspection Request Indexing still requires Search Console-scoped auth or browser UI access."
kw_009,2026-07-24,AI workflow automation Dallas for restaurants,ai-workflow-automation-dallas-for-restaurants,https://www.operive.com/blog/ai-workflow-automation-dallas-for-restaurants/,2026-07-16T20:17:09+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,,,,,blocked-buffer-plan-scheduled-post-limit-10-of-10,"Live URL and Article schema verified; Buffer token found and used, but Buffer API stopped remaining scheduling with scheduled-post limit 10/10; GSC URL Inspection Request Indexing still requires Search Console-scoped auth or browser UI access."
kw_010,2026-07-25,AI workflow automation Dallas for home services,ai-workflow-automation-dallas-for-home-services,https://www.operive.com/blog/ai-workflow-automation-dallas-for-home-services/,2026-07-16T20:17:09+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,,,,,blocked-buffer-plan-scheduled-post-limit-10-of-10,"Live URL and Article schema verified; Buffer token found and used, but Buffer API stopped remaining scheduling with scheduled-post limit 10/10; GSC URL Inspection Request Indexing still requires Search Console-scoped auth or browser UI access."
kw_011,2026-07-26,AI workflow automation Dallas for med spas,ai-workflow-automation-dallas-for-med-spas,https://www.operive.com/blog/ai-workflow-automation-dallas-for-med-spas/,2026-07-16T20:17:09+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,,,,,blocked-buffer-plan-scheduled-post-limit-10-of-10,"Live URL and Article schema verified; Buffer token found and used, but Buffer API stopped remaining scheduling with scheduled-post limit 10/10; GSC URL Inspection Request Indexing still requires Search Console-scoped auth or browser UI access."
kw_012,2026-07-27,AI workflow automation Dallas for dental offices,ai-workflow-automation-dallas-for-dental-offices,https://www.operive.com/blog/ai-workflow-automation-dallas-for-dental-offices/,2026-07-16T20:17:09+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,,,,,blocked-buffer-plan-scheduled-post-limit-10-of-10,"Live URL and Article schema verified; Buffer token found and used, but Buffer API stopped remaining scheduling with scheduled-post limit 10/10; GSC URL Inspection Request Indexing still requires Search Console-scoped auth or browser UI access."
